Oberkategorie,Unterkategorie,CF,MF
Elektro divers,Induktive Ladeschale,"0,88","5,75"
Elektro divers,Inverter,"12,47","233,56"
Elektro divers,Kabel,"0,59","31,29"
Elektro divers,Kabeltrommel,"29,62","1564,54"
Elektro divers,"Kamera, analog","118,9","462,61"
Elektro divers,Kappsäge,"62,54","209,95"
Elektro divers,Katzenklappe,"0,57","0,83"
Elektro divers,Kehrmaschine,"70,81","342,21"
Elektro divers,Klimagerät,"172,29","2722,04"
Elektro divers,Kompressor,"86,14","1361,02"
Elektro divers,Krankenbett-Schalttafel,"251,51","4787,21"
Elektro divers,Kreissäge,"75,05","251,94"
Elektro divers,Kärcher,"35,41","171,11"
Elektro divers,Körperpflege,,
Elektro divers,Küchenradio,"25,15","478,72"
Elektro divers,Kühlbox,"23,89","106,91"
Elektro divers,LED-Licht/LED-Leuchte,"9,99","188,7"
Elektro divers,LED-Spiegel,"2,02","4,41"
Elektro divers,Labornetzgerät,"100,6","1914,88"
Elektro divers,Labortechnikgerät,"503,01","9574,42"
Elektro divers,Ladegerät,"4,42","28,73"
Elektro divers,Lampe,"49,96","943,52"
Elektro divers,Laser,"25,15","478,72"
Elektro divers,Laserdrucker,"108,52","444,14"
Elektro divers,Laterne,"49,96","943,52"
Elektro divers,Laubbläser,"21,24","102,66"
Elektro divers,Laubsauger,"35,41","171,11"
Elektro divers,Laufband,"427,65","1239,15"
Elektro divers,Lautstärkeregler,"10,06","191,49"
Elektro divers,Lawinenpipsgerät,"15,09","287,23"
Elektro divers,Leselupe,"0,1","0,22"
Elektro divers,Lichterkette,"1,78","93,87"
Elektro divers,Lokomotive,,
Elektro divers,Loop Station,"25,15","478,72"
Elektro divers,Luftkühler,"28,71","453,67"
Elektro divers,Luftreiniger,"5,22","30,35"
Elektro divers,Lötkolben,"10,06","191,49"
Elektro divers,Lötstation,"50,3","957,44"
Elektro divers,Lüfter,"21,78","251,61"
Elektro divers,Magnetfeldmatte,"8,24","46,38"
Elektro divers,"Malstift, elektrisch","5,03","95,74"
Elektro divers,Manikürgerät,"3,67","23,74"
Elektro divers,Marderschreck,"10,06","191,49"
Elektro divers,Massageball,"0,29","0,41"
Elektro divers,Massagegerät,"9,38","31,49"
Elektro divers,Medizintechnik,,
Elektro divers,Megafon,"50,3","957,44"
Elektro divers,Mehrfachsteckdose,"1,18","62,58"
Elektro divers,Messgerät,"50,3","957,44"
Elektro divers,Metronom,"0,95","1,38"
Elektro divers,Mikroskop,"15,74","183,43"
Elektro divers,Motor,,
Elektro divers,Motorsense/Freischneider,"31,27","104,97"
Elektro divers,Motorsäge,"28,14","94,48"
Elektro divers,Multiboy,"100,6","1914,88"
Elektro divers,Multifunktionswerkzeug,"7,87","91,71"
Elektro divers,Multimeter,"15,09","287,23"
Elektro divers,Musikinstrument,,
Elektro divers,Mähroboter,"33,92","166,63"
Elektro divers,Mückenbrennstab,"10,06","191,49"
Elektro divers,Münzzählautomat,"150,9","2872,32"
Elektro divers,Nachttischlampe,"49,96","943,52"
Elektro divers,Nagellack-Abfüllmaschine,"50,3","957,44"
Elektro divers,Nagelset,"1,05","12,23"
Elektro divers,Nasenhaartrimmer,"0,37","2,37"
Elektro divers,Nebelmaschine,"28,33","136,89"
Elektro divers,Netzteil,"4,42","28,73"
Elektro divers,Notfallgerät,"50,3","957,44"
Elektro divers,Oszilloskop,"352,11","6702,09"
Elektro divers,Otoskop,"5,03","95,74"
Elektro divers,PV Paneel,"108,75","425,64"
Elektro divers,Papierschredderer,"67,82","277,59"
Elektro divers,Pedalantrieb,"8,55","24,78"
Elektro divers,Pelletofen,"978,31","10640,04"
Elektro divers,Personenwaage,"2,54","11,72"
Elektro divers,Playmobil Eisenbahn,"2,85","4,15"
Elektro divers,Poliergerät,"22,03","142,43"
Elektro divers,Poolfilter,"17,39","101,18"
Elektro divers,Poolreiniger,"18,46","283,53"
Elektro divers,Pyrometer,"15,09","287,23"
Elektro divers,Raclette,"6,07","28,58"
Elektro divers,Rasenkantenschere,"10,5","122,28"
Elektro divers,Rasenmäher,"67,84","333,26"
Elektro divers,Rasentrimmer,"10,18","49,99"
Elektro divers,Rechenmaschine,"1,7","8,33"
Elektro divers,Rolladenmotor,"6,65","85,32"
Elektro divers,Rollpiano,"50,3","957,44"
Elektro divers,Rotlichtlampe,"24,98","471,76"
Elektro divers,SD-Karte,"0,5","9,57"
Elektro divers,Saugroboter,"35,41","171,11"
Elektro divers,Schalter,"0,19","0,28"
Elektro divers,Scheibenwischer,"2,22","28,44"
Elektro divers,Scheinwerfer,"99,93","1887,05"
